"","year","scenario","scenario_family","PercentChange"
"85",2095,"Farm","Nature-Friendly Farming",-15.2688281558719
"86",2095,"Farm_plus","Nature-Friendly Farming",159.773984132131
"87",2095,"NPC_bio","Nations Prioritize Conservation",10.4460521387271
"88",2095,"NPC_carb","Nations Prioritize Conservation",7.43387799748604
"89",2095,"Press","People Reduce Pressure",-20.972649705453
"90",2095,"Press_plus","People Reduce Pressure",10.0552053879076
"91",2100,"Farm","Nature-Friendly Farming",-15.2045628018346
"92",2100,"Farm_plus","Nature-Friendly Farming",179.677330988416
"93",2100,"NPC_bio","Nations Prioritize Conservation",10.6642690165181
"94",2100,"NPC_carb","Nations Prioritize Conservation",7.61000045778043
"95",2100,"Press","People Reduce Pressure",-21.0783171693255
"96",2100,"Press_plus","People Reduce Pressure",16.152940985722
