"","year","region","Category","gdp_income_scalingfactor","gdp_percap","Income"
"1",1975,"Africa_Eastern","d1",0.0151108841787436,569.118837740777,8.59988884104206
"2",1975,"Africa_Eastern","d2",0.0252300393019365,569.118837740777,14.3588906436722
"3",1975,"Africa_Eastern","d3",0.0319113297874277,569.118837740777,18.1613389193835
"4",1975,"Africa_Eastern","d4",0.0396072357753531,569.118837740777,22.5412239905939
"5",1975,"Africa_Eastern","d5",0.0475361738282654,569.118837740777,27.053731999786
"6",1975,"Africa_Eastern","d6",0.0572268581002204,569.118837740777,32.5688829695538
"7",1975,"Africa_Eastern","d7",0.0734524828596664,569.118837740777,41.8031916742677
"8",1975,"Africa_Eastern","d8",0.101307331057153,569.118837740777,57.6559105058669
"9",1975,"Africa_Eastern","d9",0.150220441125403,569.118837740777,85.4932828581962
"10",1975,"Africa_Eastern","d10",0.348073682949506,569.118837740777,198.095289888375
"11",1990,"Africa_Eastern","d1",0.0151108841787436,582.435281916026,8.80111208664696
"12",1990,"Africa_Eastern","d2",0.0252300393019365,582.435281916026,14.6948650535758
"13",1990,"Africa_Eastern","d3",0.0319113297874277,582.435281916026,18.5862843610557
"14",1990,"Africa_Eastern","d4",0.0396072357753531,582.435281916026,23.0686515347323
"15",1990,"Africa_Eastern","d5",0.0475361738282654,582.435281916026,27.686744804875
"16",1990,"Africa_Eastern","d6",0.0572268581002204,582.435281916026,33.3309412307703
"17",1990,"Africa_Eastern","d7",0.0734524828596664,582.435281916026,42.7813175618019
"18",1990,"Africa_Eastern","d8",0.101307331057153,582.435281916026,59.004963924433
"19",1990,"Africa_Eastern","d9",0.150220441125403,582.435281916026,87.493684976424
"20",1990,"Africa_Eastern","d10",0.348073682949506,582.435281916026,202.730393656245
"21",2005,"Africa_Eastern","d1",0.0151108841787436,698.180802319267,10.5501292396687
"22",2005,"Africa_Eastern","d2",0.0252300393019365,698.180802319267,17.6151290823726
"23",2005,"Africa_Eastern","d3",0.0319113297874277,698.180802319267,22.279877834061
"24",2005,"Africa_Eastern","d4",0.0396072357753531,698.180802319267,27.6530116512844
"25",2005,"Africa_Eastern","d5",0.0475361738282654,698.180802319267,33.1888439826065
"26",2005,"Africa_Eastern","d6",0.0572268581002204,698.180802319267,39.9546937026228
"27",2005,"Africa_Eastern","d7",0.0734524828596664,698.180802319267,51.2831134153041
"28",2005,"Africa_Eastern","d8",0.101307331057153,698.180802319267,70.7308336783065
"29",2005,"Africa_Eastern","d9",0.150220441125403,698.180802319267,104.881028109688
"30",2005,"Africa_Eastern","d10",0.348073682949506,698.180802319267,243.018363227909
"31",2010,"Africa_Eastern","d1",0.0151108841787436,846.414760332585,12.7900754105647
"32",2010,"Africa_Eastern","d2",0.0252300393019365,846.414760332585,21.3550776689302
"33",2010,"Africa_Eastern","d3",0.0319113297874277,846.414760332585,27.0102205539197
"34",2010,"Africa_Eastern","d4",0.0396072357753531,846.414760332585,33.5241489762317
"35",2010,"Africa_Eastern","d5",0.0475361738282654,846.414760332585,40.2353191779794
"36",2010,"Africa_Eastern","d6",0.0572268581002204,846.414760332585,48.437657383485
"37",2010,"Africa_Eastern","d7",0.0734524828596664,846.414760332585,62.1712656754979
"38",2010,"Africa_Eastern","d8",0.101307331057153,846.414760332585,85.7480203366738
"39",2010,"Africa_Eastern","d9",0.150220441125403,846.414760332585,127.148798672213
"40",2010,"Africa_Eastern","d10",0.348073682949506,846.414760332585,294.614702931787
"41",2015,"Africa_Eastern","d1",0.0151108841787436,938.402344818157,14.1800891456086
"42",2015,"Africa_Eastern","d2",0.0252300393019365,938.402344818157,23.6759280407914
"43",2015,"Africa_Eastern","d3",0.0319113297874277,938.402344818157,29.9456666987876
"44",2015,"Africa_Eastern","d4",0.0396072357753531,938.402344818157,37.167522923357
"45",2015,"Africa_Eastern","d5",0.0475361738282654,938.402344818157,44.6080569841278
"46",2015,"Africa_Eastern","d6",0.0572268581002204,938.402344818157,53.7018178278228
"47",2015,"Africa_Eastern","d7",0.0734524828596664,938.402344818157,68.9279821482264
"48",2015,"Africa_Eastern","d8",0.101307331057153,938.402344818157,95.0670370113015
"49",2015,"Africa_Eastern","d9",0.150220441125403,938.402344818157,140.967214191696
"50",2015,"Africa_Eastern","d10",0.348073682949506,938.402344818157,326.633160249309
"51",2020,"Africa_Eastern","d1",0.0151108841787436,1033.63544248166,15.6191454543847
"52",2020,"Africa_Eastern","d2",0.0252300393019365,1033.63544248166,26.0786628376867
"53",2020,"Africa_Eastern","d3",0.0319113297874277,1033.63544248166,32.9846814850059
"54",2020,"Africa_Eastern","d4",0.0396072357753531,1033.63544248166,40.9394426761324
"55",2020,"Africa_Eastern","d5",0.0475361738282654,1033.63544248166,49.1350740688641
"56",2020,"Africa_Eastern","d6",0.0572268581002204,1033.63544248166,59.1517087942564
"57",2020,"Africa_Eastern","d7",0.0734524828596664,1033.63544248166,75.9230896220276
"58",2020,"Africa_Eastern","d8",0.101307331057153,1033.63544248166,104.714847963896
"59",2020,"Africa_Eastern","d9",0.150220441125403,1033.63544248166,155.273172132446
"60",2020,"Africa_Eastern","d10",0.348073682949506,1033.63544248166,359.781295291733
"61",2025,"Africa_Eastern","d1",0.0151108841787436,1190.79419342053,17.9939531374981
"62",2025,"Africa_Eastern","d2",0.0252300393019365,1190.79419342053,30.0437843005177
"63",2025,"Africa_Eastern","d3",0.0319113297874277,1190.79419342053,37.9998262151965
"64",2025,"Africa_Eastern","d4",0.0396072357753531,1190.79419342053,47.1640663787284
"65",2025,"Africa_Eastern","d5",0.0475361738282654,1190.79419342053,56.6057997721275
"66",2025,"Africa_Eastern","d6",0.0572268581002204,1190.79419342053,68.1454103334432
"67",2025,"Africa_Eastern","d7",0.0734524828596664,1190.79419342053,87.4667900816119
"68",2025,"Africa_Eastern","d8",0.101307331057153,1190.79419342053,120.636181573789
"69",2025,"Africa_Eastern","d9",0.150220441125403,1190.79419342053,178.881629025201
"70",2025,"Africa_Eastern","d10",0.348073682949506,1190.79419342053,414.484120538771
